customerId,recommendedProducts
4,132|37|0|34|248|3|230|110|27|32
11,132|37|0|34|248|3|230|110|27|32
12,132|37|0|34|248|3|230|110|27|32
16,132|37|0|34|248|3|230|110|27|32
21,132|37|0|34|248|3|230|110|27|32
32,132|37|0|34|248|3|230|110|27|32
121,132|37|0|248|3|230|110|27|32|245
122,132|37|0|34|248|230|110|27|32|245
123,132|0|34|248|3|230|110|27|32|245
137,132|37|0|34|248|3|230|110|27|32
141,132|37|0|34|248|3|230|110|27|32
152,132|37|0|34|248|3|230|110|27|32
164,132|37|0|34|248|3|230|110|27|32
171,132|37|0|34|248|3|230|110|27|32
182,132|37|0|34|248|3|230|110|27|32
212,132|37|0|34|248|3|230|27|32|245
218,132|37|0|34|248|3|230|27|32|245
247,132|37|0|34|248|3|230|110|27|32
250,132|37|0|34|248|3|230|110|27|245
255,132|37|0|34|248|3|230|110|27|32
261,132|37|0|248|34|3|230|110|27|32
263,132|37|0|34|248|3|230|110|27|32
305,132|37|0|34|248|3|230|27|32|245
320,132|37|0|34|248|3|230|110|27|32
321,132|37|0|34|248|3|230|110|27|32
326,132|37|0|34|248|3|230|110|27|32
339,132|0|248|3|230|110|27|32|245|10
368,132|37|0|34|248|230|110|27|32|245
418,132|37|0|34|248|3|230|110|27|32
447,132|37|34|0|248|3|230|110|27|32
450,132|37|34|248|3|230|27|110|32|245
459,132|37|0|34|248|3|230|110|27|32
462,132|37|0|34|248|3|230|110|27|32
482,132|37|0|34|248|3|230|110|27|32
539,132|37|0|34|248|3|230|110|27|32
543,132|37|0|34|248|3|230|110|27|32
548,132|37|0|34|248|3|230|110|27|32
572,132|37|0|34|248|3|230|110|27|32
594,132|37|0|34|248|3|230|110|27|32
595,132|0|34|248|3|230|110|27|32|245
625,132|37|0|34|248|3|230|110|27|32
654,132|37|0|34|248|3|230|110|27|32
659,132|37|0|248|34|3|230|110|27|32
661,132|37|0|34|248|3|230|110|27|32
665,132|37|0|34|248|3|230|110|27|32
667,132|37|0|34|248|3|230|110|27|32
677,132|37|34|248|230|110|27|32|245|10
690,132|37|0|34|248|3|230|110|27|32
706,132|37|0|34|248|3|230|110|27|32
708,132|37|0|34|248|3|230|110|27|32
718,132|37|0|34|248|3|230|110|27|32
731,132|37|0|34|248|3|230|110|27|32
745,132|37|0|34|248|3|230|110|27|32
788,132|37|0|34|248|3|230|110|27|32
806,132|37|0|248|34|3|230|110|27|32
821,132|37|34|248|3|230|110|27|32|245
837,132|37|34|248|3|230|110|27|32|245
858,132|37|0|34|248|3|230|110|27|32
861,132|37|0|34|248|3|230|110|27|32
862,132|37|0|34|248|3|230|110|27|32
863,132|37|0|248|34|3|230|110|27|32
866,132|0|34|248|3|230|110|27|32|245
884,132|37|0|34|248|3|230|110|27|32
946,132|37|0|34|248|3|230|110|27|32
1037,132|37|0|34|248|3|230|110|27|32
1042,132|37|0|34|248|3|230|110|27|32
1043,132|37|34|248|3|230|27|32|245|10
1057,132|37|0|34|248|3|230|110|27|32
1073,132|37|0|34|248|230|110|27|32|245
1085,132|37|0|34|248|3|230|110|27|32
1090,132|37|0|34|248|3|230|110|27|32
1091,132|37|0|34|248|3|110|27|32|245
1093,132|37|0|34|248|3|230|110|27|32
1111,132|37|0|34|248|3|230|110|27|32
1127,132|37|0|34|248|3|230|110|27|32
1130,132|37|34|248|3|230|110|27|32|245
1137,132|37|0|34|248|3|230|110|27|32
1139,132|37|0|34|248|3|230|110|27|32
1143,132|37|0|34|248|3|230|110|27|32
1149,132|37|0|248|34|3|230|110|27|32
1156,132|37|0|34|248|3|230|110|27|32
1175,132|37|0|34|248|3|230|110|27|32
1178,132|37|0|34|248|3|230|110|27|32
1182,132|37|0|34|248|3|230|110|27|32
1223,132|37|0|34|248|3|230|110|27|32
1245,132|37|0|34|248|3|230|110|27|32
1267,132|37|34|0|248|3|230|110|27|32
1270,132|37|0|34|248|3|230|110|27|32
1286,132|37|0|34|248|3|230|110|27|32
1290,132|37|0|34|248|3|230|110|27|32
1342,132|37|0|34|248|3|230|110|27|32
1347,132|37|0|34|248|3|230|110|27|32
1380,132|37|0|34|248|3|230|110|27|32
1387,132|37|0|34|248|3|230|110|27|32
1412,132|37|0|34|248|3|230|110|27|32
1416,132|37|0|34|248|3|230|110|27|32
1425,132|37|0|34|248|3|230|110|27|32
1434,132|37|0|34|248|3|230|110|27|32
1455,132|37|0|34|248|3|230|110|27|32
1475,132|37|0|34|248|3|230|110|27|32
1504,132|37|0|34|248|3|230|110|27|32
1553,132|37|0|248|34|3|230|110|27|32
1559,132|37|0|34|248|3|230|110|27|32
1583,132|37|0|34|248|3|230|110|27|32
1586,132|37|0|34|248|3|230|110|27|32
1619,132|37|34|248|3|230|27|110|32|245
1653,132|37|0|34|248|230|110|27|32|245
1668,132|37|0|34|248|3|230|110|27|32
1695,132|37|34|248|3|230|110|27|32|245
1705,132|37|0|34|248|3|230|110|27|32
1730,132|37|0|34|248|3|230|110|27|32
1743,132|37|0|34|248|3|230|110|27|32
1757,132|37|0|34|248|3|230|110|27|32
1768,132|37|0|34|248|3|230|110|27|32
1783,132|37|0|34|248|3|230|110|27|32
1851,132|37|34|248|3|230|110|27|32|245
1870,132|37|0|248|34|3|230|110|27|32
1911,132|37|0|34|248|3|230|110|27|32
1916,132|37|0|34|248|3|230|110|27|32
1939,132|37|0|34|248|3|230|110|27|32
1981,132|37|0|34|248|3|230|110|27|32
2008,132|37|0|34|248|3|230|110|27|32
2029,132|37|34|248|3|230|110|27|32|245
2043,132|37|0|34|248|3|230|110|27|32
2052,132|37|34|248|3|230|110|27|32|245
2062,132|37|0|34|248|3|230|110|27|32
2087,132|37|34|248|3|230|110|27|32|245
2143,132|37|0|34|248|3|230|110|27|32
2202,132|37|0|34|248|3|230|110|27|10
2232,132|37|0|34|248|3|230|110|27|32
2265,132|37|0|34|248|3|230|110|27|32
2278,132|37|0|34|248|3|230|110|27|32
2279,132|37|0|248|34|3|230|110|27|32
2283,132|37|0|34|248|3|230|110|27|32
2285,132|37|0|34|248|3|230|110|27|32
2315,132|37|0|34|248|3|230|110|27|32
2347,132|37|0|34|248|3|230|110|27|32
2388,132|37|0|34|248|3|230|110|27|32
2396,132|37|0|34|248|3|230|110|27|32
2403,132|37|0|34|248|3|230|110|27|32
2409,132|37|0|34|248|3|230|110|27|32
2410,132|37|0|34|248|3|230|110|27|32
2414,132|37|34|248|3|230|110|27|32|245
2417,132|37|0|34|248|3|230|110|27|32
2430,132|37|0|34|248|3|230|110|27|32
2466,132|37|0|34|248|3|230|110|27|32
2478,132|37|34|248|3|230|110|27|32|245
2479,132|37|0|34|248|3|230|110|27|32
2531,132|37|0|34|248|3|230|110|27|32
2536,132|37|0|34|248|3|230|110|27|32
2579,132|37|0|34|248|3|230|110|27|32
2581,132|37|0|248|34|3|230|110|27|32
2590,132|37|0|34|248|3|230|110|27|32
2615,132|37|0|34|248|3|230|110|27|32
2624,132|37|0|34|248|3|230|110|27|32
2626,132|37|0|34|248|3|230|110|27|32
2654,132|0|34|248|3|230|110|27|32|245
2670,132|37|0|34|248|3|230|110|27|32
2715,132|37|0|34|248|3|230|110|27|32
2724,132|37|0|34|248|3|230|110|27|32
2770,132|37|0|34|248|3|230|110|27|32
2815,132|0|34|248|3|230|110|27|32|245
